"kmeans1","kmeans2"
0.6837,0.3673
1,1
1,1
1,0.697
1,0.3378
1,1
1,0.6917
1,0.3656
1,0.3426
1,0.6654
0.708,0.708
1,0.6406
1,1
0.6475,NA
1,NA
0.6818,0
0.6382,0
1,1
1,0.6382
1,NA
1,0.6526
1,0.6224
0.6619,0.6619
1,0.3535
0.6489,0
1,NA
1,0.3505
1,1
1,0.6835
0.6771,0
1,1
1,NA
1,1
1,0.6714
1,NA
1,NA
1,0.668
1,0.6364
1,0.3533
0.6765,NA
1,NA
0.6647,NA
1,0.6909
0.6907,0
1,0.6764
0.6634,NA
0.6458,0.6458
0.6523,NA
0.6396,0
1,0.6743
0.6436,0.6436
1,0.3466
1,NA
1,NA
0.6813,0
0.6667,0
1,NA
1,NA
1,1
0.6374,0
1,0.6667
1,1
1,0.7029
1,NA
1,NA
0.6926,0.3673
1,1
1,NA
1,0.6651
1,NA
0.6998,0
1,0.3456
1,NA
1,NA
0.6843,0.6843
0.6746,0.6746
0.3587,0.3587
0.6559,0
1,1
1,1
0.6743,0
0.6563,0
0.7125,0.7125
1,1
1,NA
0.3368,0
1,0.6557
1,0.352
1,0.6667
1,1
1,1
1,NA
0.6932,0.6932
1,0.6804
1,0.6782
1,1
0.6563,0
0.6442,0.6442
1,NA
0.6799,NA
1,NA
1,1
1,NA
1,NA
1,0.672
1,1
0.3569,0
1,0.6565
1,NA
0.6703,0.6703
0.694,0.355
0.6382,NA
1,NA
1,0.6702
1,NA
0.6744,0
0.6515,0
0.9657,0
1,0.6514
1,NA
0.3499,0.3499
1,NA
1,NA
1,0.6622
1,1
1,1
1,1
1,NA
0.6594,NA
1,NA
1,NA
0.6273,NA
1,NA
1,1
0.6504,NA
1,NA
0.7104,0.7104
1,NA
1,NA
0.6696,0
0.6664,0
1,NA
1,NA
0.647,NA
1,NA
1,1
0.6944,NA
0.6404,NA
1,NA
1,1
1,NA
1,0.6526
0.7047,NA
1,1
1,1
1,1
1,0.6447
0.66,0.3529
1,NA
0.6842,NA
1,0.3673
0.3519,0.3519
1,0.3498
1,NA
0.7273,0
0.675,NA
0.6774,NA
1,NA
1,NA
1,NA
0.35,0
0.6809,NA
1,0.6771
1,1
1,1
1,NA
0.6437,0.3319
0.661,0
1,NA
1,0.3674
1,NA
0.6804,0
0.7047,0
1,NA
1,NA
1,NA
0.6838,NA
0.6874,NA
1,1
1,NA
1,1
1,1
1,NA
1,NA
1,NA
1,0.343
1,NA
0.6959,0.3693
0.6634,0
0.6481,NA
1,NA
0.6413,NA
0.6641,0.6641
0.622,0.3179
0.6774,0
1,1
0.6718,0
0.6907,0
0.6591,NA
0.7053,0.7053
0.6832,NA
0.6888,0.3479
0.6718,0
1,NA
0.6804,NA
0.7026,NA
1,NA
0.6253,0.3227
0.6832,0
0.6316,0
1,NA
0.6676,0
1,1
0.677,0
0.7014,NA
0.6465,NA
0.6637,0
0.6661,0
1,NA
1,0.3506
1,NA
1,NA
0.6912,0
1,0.6514
1,NA
1,NA
1,NA
1,NA
1,0.6596
1,NA
0.3476,0
1,0.7093
0.3591,0
1,NA
1,0.3614
1,0.6422
1,0.6736
1,0.6738
1,NA
1,0.6596
1,0.6928
1,1
1,NA
1,1
1,NA
1,1
1,1
1,NA
0.6953,0
1,NA
0.676,NA
1,NA
1,1
1,NA
0.6667,0.6667
1,NA
0.6559,0
0.692,0.692
1,NA
1,0.6767
1,1
1,NA
1,0.6633
0.6306,0.3227
1,1
1,0.6736
1,0.6464
1,NA
1,0.6667
1,NA
0.6334,NA
0.6598,0.6598
1,1
1,0.6876
0.6517,0
0.6665,0.3446
0.6421,0
1,NA
0.6726,0
1,0.6528
1,0.3789
1,NA
1,NA
0.6634,0.3366
0.6694,0
0.6404,0.3258
1,1
1,1
0.6745,0.6745
1,NA
1,1
1,NA
0.3511,0
1,0.6374
1,0.668
1,NA
0.6939,0.3571
1,1
1,0.7057
1,NA
1,1
1,0.716
0.7022,0.7022
0.7113,0.3919
1,NA
0.6859,0
0.66,0.66
1,NA
1,NA
0.7119,0.7119
1,NA
1,NA
0.6925,0
1,NA
0.6681,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,1
1,NA
1,0.6649
0.6487,NA
1,1
1,0.6556
1,1
0.6692,0
0.6424,NA
1,1
0.6648,NA
0.6776,0
1,NA
1,0.6683
0.6817,0.6817
1,1
1,NA
0.6816,0.352
1,0.704
1,NA
1,0.7081
1,1
1,0.6837
1,1
1,NA
0.6675,NA
1,1
0.6611,0.6611
0.6404,0
1,NA
0.6744,0.6744
1,0.348
1,0.3366
0.6932,0
1,NA
1,1
0.692,NA
1,1
0.6923,0
0.6694,NA
0.7013,0
1,0.7113
1,NA
1,1
1,NA
1,0.6909
0.6687,0
0.6922,NA
0.6651,NA
1,NA
0.678,NA
1,1
1,NA
1,1
0.6489,NA
1,0.6737
1,NA
0.6461,NA
1,1
1,NA
1,0.6108
1,1
1,0.6568
1,1
0.6535,0.6535
1,0.3473
0.7066,0
1,0.6566
0.6549,NA
1,1
1,1
0.6685,0.6685
1,NA
1,0.6667
1,0.6341
1,1
1,NA
1,1
1,0.6762
0.7028,0
1,NA
0.6566,0.6566
1,NA
1,NA
1,NA
0.3437,0.3437
1,NA
0.633,NA
1,0.6723
1,NA
1,NA
1,1
1,1
1,1
0.3469,0
0.704,0.3627
1,NA
0.6452,0.6452
1,1
1,NA
0.6549,0
1,NA
1,0.6562
1,NA
1,0.6362
1,0.6358
1,1
1,NA
1,1
0.7158,NA
1,1
1,0.6392
1,0.6823
1,1
1,NA
0.6555,0.3429
1,NA
1,0.6742
0.6056,0
1,NA
0.7132,NA
0.6536,NA
1,NA
1,1
1,NA
0.6667,NA
1,NA
0.6732,NA
1,1
1,NA
1,0.6742
1,0.66
1,NA
0.6314,NA
1,NA
1,1
1,1
1,NA
0.6626,NA
0.6801,0
1,NA
1,0.6822
1,NA
0.6364,0
1,1
0.7008,0
0.6349,NA
1,NA
0.6559,NA
0.667,NA
1,NA
0.678,NA
0.663,0.663
0.646,0
0.6709,NA
1,NA
1,NA
1,NA
0.6596,NA
0.666,0.666
1,NA
1,NA
0.6548,0
1,NA
1,NA
0.6535,NA
1,NA
1,NA
0.6633,NA
1,1
1,NA
1,1
0.6926,0
0.7067,0
1,1
1,1
1,0.6448
1,1
1,1
1,0.6714
1,0.6846
0.6809,0
1,1
0.6592,NA
0.6406,0
0.6807,0
0.6748,NA
1,NA
1,0.6663
1,NA
1,NA
0.6596,0
1,1
1,1
1,0.6561
1,NA
1,NA
0.7012,0
1,0.6639
1,0.6804
0.689,NA
1,0.6675
1,NA
1,1
1,0.6912
0.6575,0.3375
1,1
1,NA
1,NA
1,0.3487
0.6889,0.6889
1,0.6291
1,1
1,0.6447
1,1
0.6618,0
1,1
1,NA
0.3498,0
0.6772,NA
1,NA
1,1
1,0.3542
0.6604,NA
1,1
1,0.6701
1,NA
1,1
0.67,0.34
0.6385,0
0.6852,0
0.6397,NA
1,0.3443
0.6598,NA
1,NA
0.6536,NA
1,NA
1,0.6942
1,1
0.3546,0.3546
0.6888,0.3499
1,NA
0.678,NA
0.6822,0.3485
0.6906,0
0.6479,0.3628
0.6747,0
1,1
0.6465,0.6465
1,NA
1,NA
0.6078,0.6078
0.6598,0
1,0.6562
0.3444,0
1,0.6983
0.6632,0.3474
1,NA
1,0.69
1,NA
0.3491,0
1,0.6412
1,0.651
1,1
1,1
1,1
0.3498,0
1,0.6889
0.6926,NA
1,0.6823
0.3441,0
1,1
1,NA
0.6968,0
1,NA
1,1
1,NA
1,NA
1,NA
1,NA
1,NA
1,1
1,0.6504
0.7087,0.7087
1,NA
0.6496,0
1,NA
1,0.3729
1,NA
1,NA
0.6632,0
1,1
1,1
1,NA
1,1
0.6566,NA
1,NA
0.6631,0.3331
1,0.6527
1,0.6598
1,1
1,0.3446
0.6842,NA
1,NA
1,1
1,0.6979
1,1
1,1
0.6632,NA
1,NA
1,NA
1,0.6703
1,1
1,NA
1,NA
1,NA
1,NA
0.6563,0
0.6739,0
1,0.701
0.6843,0.6843
1,NA
1,0.3617
1,0.6703
0.6842,NA
1,0.6856
1,1
0.6774,0
1,1
1,0.6888
0.6515,0.6515
1,NA
1,0.6669
1,1
0.6869,0.6869
1,0.6771
1,NA
1,1
1,0.6397
1,NA
1,1
1,1
1,NA
1,1
1,0.6507
1,0.3516
1,NA
1,1
1,1
1,0.6925
1,1
0.6484,0.6484
1,0.6596
1,0.6906
1,NA
1,0.6524
1,1
1,NA
1,NA
1,1
1,0.6735
1,NA
1,NA
1,0.3521
1,0.6813
1,NA
1,1
1,1
1,0.6799
1,NA
1,1
1,0.6632
1,0.6593
1,1
1,1
1,NA
1,1
0.648,0.648
1,1
1,1
0.6461,0.6461
1,0.3573
1,0.6372
1,1
1,NA
0.6753,NA
1,1
0.6966,0.6966
0.6972,NA
1,0.6327
1,0.3453
1,0.6484
1,NA
1,NA
0.6552,0.6552
1,0.6534
1,NA
0.6725,0.3493
1,0.6771
0.6459,0
1,NA
0.668,0
0.6526,NA
1,NA
0.6939,0.3776
1,1
1,0.3824
1,0.6878
1,NA
0.6695,0.3541
1,1
0.6768,0
1,0.6768
0.6738,NA
1,0.6711
1,0.6591
1,1
1,NA
0.6622,NA
1,1
1,NA
1,1
1,1
0.6519,0
1,0.3441
1,0.3763
1,0.6667
1,0.3363
1,0.6989
1,0.6813
1,0.6821
1,1
1,1
1,1
1,1
1,1
1,NA
1,0.3453
1,NA
1,0.365
0.6813,NA
1,0.6656
1,1
1,0.607
1,1
1,0.7715
1,1
1,0.6523
1,NA
1,0.3466
1,NA
1,0.6468
1,1
1,NA
1,0.6715
1,1
0.6421,NA
0.7036,0.7036
0.6989,0.3548
0.6721,0
0.6966,0.6966
1,0.6574
1,NA
1,1
1,1
1,0.6448
0.6526,0.6526
1,1
1,1
1,1
1,0.3488
1,0.6543
1,1
1,0.6591
1,0.656
1,NA
0.3754,0
0.6198,0.3265
1,0.355
1,1
0.6733,NA
1,1
1,0.6822
0.6906,0.3457
1,1
1,0.6652
1,0.6566
1,NA
1,1
1,1
1,1
1,1
1,0.6236
1,1
1,1
0.6334,0.6334
1,0.678
1,1
1,0.6605
1,0.6912
1,0.7158
1,1
1,1
0.6436,0.6436
1,NA
1,0.6569
1,0.6327
1,1
0.6429,NA
0.6576,0
1,0.6942
1,1
1,NA
1,0.6677
0.6648,0.3457
1,NA
1,NA
1,0.3763
0.6739,0.6739
1,1
1,NA
1,NA
0.6559,0.3548
1,0.6335
0.6917,0
1,0.6737
1,0.6478
1,0.6882
0.6552,0
1,0.6978
1,NA
1,1
0.6778,NA
1,NA
1,NA
0.6766,NA
1,0.6913
1,NA
1,0.6319
1,NA
1,1
1,0.7231
0.6784,NA
1,1
1,NA
1,NA
1,0.6632
1,1
0.7158,0
1,NA
1,1
1,1
1,0.6801
0.6793,0.6793
0.6196,0
0.6123,0.6123
0.6663,NA
0.676,0
0.66,0
1,0.3547
0.6737,0.6737
0.6765,0.6765
0.6923,0.6923
1,1
1,NA
1,1
1,0.6885
1,NA
0.6438,0.6438
0.6941,0
0.65,0.3609
1,1
1,NA
1,0.6421
1,0.3498
0.6667,0
0.6563,0.6563
0.7097,0.3656
1,0.6588
1,1
1,1
1,0.6452
1,0.6413
1,0.6792
1,NA
1,0.6693
0.6581,NA
1,NA
0.6495,NA
0.6559,NA
1,0.6513
1,NA
0.6566,0
0.6696,0.3571
1,1
0.6843,0
1,1
1,0.6906
0.6403,0.6403
1,1
1,NA
1,NA
1,0.6545
1,0.9256
1,0.6809
1,1
1,1
1,1
1,0.6593
1,NA
0.6809,0.6809
1,NA
1,0.3681
1,0.6816
1,1
1,NA
0.6533,0
0.6522,0.6522
1,1
1,0.6558
1,0.6508
1,NA
0.6876,0
1,0.6989
1,NA
0.6395,0
1,0.3551
1,1
1,1
1,0.6848
1,1
1,0.6548
1,NA
1,0.6727
1,NA
1,1
1,NA
1,0.6364
1,NA
1,1
1,0.6477
1,1
1,NA
0.6842,0.6842
1,0.6889
1,1
1,1
1,0.6563
1,1
0.6801,0.6801
0.6842,0
1,1
1,1
1,1
1,NA
1,0.6879
0.6636,0
1,NA
1,NA
1,0.6685
1,0.6452
1,0.6705
1,1
1,1
0.6609,0
1,1
1,1
1,0.6803
1,NA
1,NA
1,1
1,1
1,NA
1,0.6828
1,1
1,0.6333
1,1
1,0.6787
1,NA
0.6712,0.6712
1,0.6883
1,1
1,NA
0.6269,NA
1,1
0.6789,0.36
1,0.7057
0.6485,0.6485
1,0.6566
0.6704,0.6704
1,NA
0.663,0.3587
1,0.6733
1,1
0.6818,0
0.6678,0.3532
0.6995,0
1,NA
1,0.6818
0.6967,0
1,NA
1,NA
1,0.6588
1,1
1,NA
1,NA
1,NA
0.6955,0.6955
1,0.6579
1,0.6629
1,0.3412
1,NA
1,1
1,NA
1,0.6652
0.7172,0
0.663,0
0.6752,0
1,NA
1,0.3489
1,1
0.6598,0.3402
0.6535,0
1,1
0.7066,0
1,NA
1,NA
0.6627,0
1,0.6571
0.6598,0.3632
1,NA
1,0.3725
1,1
1,NA
1,NA
0.6904,NA
1,0.6524
1,NA
1,NA
1,1
0.6739,0
1,0.6804
1,NA
1,NA
1,0.7008
1,NA
0.6791,NA
1,NA
1,NA
0.6701,0
1,NA
0.6667,NA
1,NA
1,NA
0.6654,0
1,1
1,1
1,0.6909
0.6544,0.3291
0.6602,0.6602
1,1
1,1
1,0.6246
1,NA
1,0.6713
0.3763,0.3763
1,NA
1,NA
1,NA
0.6771,NA
1,NA
0.6581,0.6581
0.363,0
0.6522,0
0.6665,NA
1,NA
1,NA
0.6447,0
1,NA
1,NA
1,0.6898
1,1
1,NA
0.662,NA
1,NA
1,NA
1,NA
1,NA
1,NA
0.6721,NA
1,1
1,NA
1,1
1,1
1,NA
0.6747,0
1,NA
1,1
1,0.67
1,NA
0.3384,0
0.6444,NA
0.672,0.3382
0.6805,0.6805
0.682,0
0.6526,NA
0.6523,0
1,0.6346
1,NA
1,1
1,0.6985
1,1
1,1
1,0.3441
0.6319,0.6319
1,NA
1,NA
1,0.6495
1,0.6756
1,NA
0.6458,NA
0.68,0
1,1
1,NA
1,0.6268
0.6465,0.6465
1,NA
0.6604,NA
1,NA
1,NA
1,1
1,1
1,NA
0.6715,NA
1,1
1,NA
0.6832,0.6832
0.6633,NA
1,NA
1,1
0.6667,NA
1,0.6442
1,NA
0.6876,0.3603
1,NA
1,NA
1,NA
1,NA
1,0.6987
1,NA
1,1
0.6336,0.3404
1,NA
0.6875,0
0.6505,NA
1,0.6609
1,NA
1,0.6864
1,0.6842
1,NA
0.6777,NA
0.6667,NA
1,1
0.6737,0
1,NA
1,1
1,NA
1,NA
0.6822,NA
1,NA
1,NA
1,NA
0.6515,0.6515
1,0.6787
1,1
0.624,NA
0.6632,0.3368
0.6563,NA
1,0.6564
1,NA
1,NA
1,1
1,NA
1,0.6571
0.6482,NA
0.6596,0
1,NA
1,NA
1,NA
1,NA
0.6459,0.6459
1,1
1,NA
1,0.6364
0.7025,NA
0.6733,NA
0.6925,NA
0.653,NA
1,1
0.6285,0.6285
1,1
1,0.6768
1,1
0.6452,0
0.6476,NA
0.6294,NA
0.6822,0.6822
0.6832,NA
1,NA
1,NA
1,NA
0.6759,NA
0.6527,0.336
0.6459,0.323
1,0.6593
1,0.6735
1,1
1,NA
0.6631,NA
1,0.6342
0.6555,NA
1,NA
1,0.3474
1,0.631
0.6957,0.6957
1,NA
0.6742,0
1,NA
1,NA
1,1
1,NA
1,NA
0.3612,0
1,NA
1,1
0.6664,NA
1,1
1,0.6964
0.6866,0.6866
1,NA
1,0.6809
1,NA
0.6833,0
1,0.3522
1,NA
1,0.6507
0.7046,NA
1,NA
1,NA
0.663,0.663
1,0.6559
1,NA
1,NA
1,1
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,0.6844
0.6386,0.3295
1,1
0.6808,0.3514
1,NA
1,NA
1,NA
1,NA
0.6601,NA
1,NA
0.7128,0.3723
0.6659,NA
0.654,0.654
0.3685,0
0.6955,NA
1,0.625
1,1
0.6542,NA
1,NA
1,0.3544
1,1
0.3389,0
0.66,NA
1,0.6872
1,0.6723
1,1
1,0.6706
0.6632,0.3474
0.3469,0
1,NA
1,NA
1,NA
1,1
1,1
1,1
1,0.6818
0.6426,0
0.6904,NA
1,0.3763
1,NA
1,0.6452
1,0.6699
1,NA
1,0.6494
1,NA
1,0.6511
1,1
1,NA
0.6509,NA
1,0.3513
0.6284,0
0.916,0
0.6651,0.3418
1,0.3641
1,NA
1,1
1,NA
1,NA
0.6974,NA
0.646,0.646
0.6524,0.6524
1,0.6632
0.6809,NA
0.6543,0.6543
1,NA
1,1
0.66,0.35
1,1
0.6609,NA
1,NA
0.7172,NA
0.6484,NA
1,NA
1,1
1,0.6806
1,NA
1,NA
0.6236,NA
1,0.6771
1,NA
0.66,0.66
1,1
1,1
1,0.3596
1,1
0.6252,NA
1,NA
1,NA
1,NA
1,NA
1,0.6803
1,0.6667
1,NA
0.691,0.348
1,0.6412
1,NA
1,0.6882
1,NA
0.6806,0.6806
1,0.6709
1,0.6768
1,1
1,0.6848
1,1
1,0.6844
0.689,0
1,NA
1,NA
0.6667,NA
1,1
1,1
1,NA
0.9658,0.6623
0.6344,0
0.6603,0.6603
1,0.6547
1,NA
1,NA
1,0.3506
1,1
1,1
1,NA
1,NA
1,NA
1,0.3553
1,NA
1,1
1,1
1,NA
1,0.6606
1,NA
0.6819,NA
0.6667,0
1,NA
1,NA
0.6636,0.6636
0.6769,0
1,1
1,NA
1,NA
0.6559,0
0.6905,NA
1,NA
0.6619,0.3607
0.6327,0.3265
1,NA
0.6871,NA
0.7065,0
1,NA
1,1
0.6596,0.6596
1,NA
1,NA
1,1
1,NA
1,0.6567
0.6713,0.6713
1,NA
0.6804,NA
1,NA
0.3708,0
1,0.6429
1,0.68
1,1
1,NA
1,NA
1,0.368
1,NA
1,NA
1,NA
1,1
0.6155,0
1,NA
1,NA
1,NA
0.6607,NA
1,NA
0.6854,0.3708
0.6709,NA
1,NA
0.6735,NA
1,1
0.6688,0.3526
1,NA
0.643,0
1,NA
1,1
1,NA
0.6659,NA
1,0.6904
0.6515,0.6515
0.6634,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,0.6842
0.6774,NA
1,NA
0.6954,0.3648
0.6485,0.6485
1,0.6847
0.6556,0.3444
1,NA
1,NA
1,NA
0.6596,0.3404
0.6932,0.3636
1,0.3452
1,NA
1,NA
1,NA
1,1
1,0.3515
0.6771,0.6771
0.6507,NA
1,1
1,0.709
1,NA
1,NA
0.6504,0
0.3674,0
1,NA
0.664,0
0.6584,NA
1,0.6525
0.6429,0
1,NA
1,0.6092
1,0.6667
1,NA
1,1
1,NA
1,NA
1,0.6519
1,NA
0.6627,0
0.6452,0
0.6777,NA
1,0.6665
1,1
1,0.6383
1,NA
1,0.6806
1,0.6701
1,1
1,1
0.6702,0.3404
1,1
1,0.6833
1,NA
1,NA
1,NA
1,NA
1,NA
0.6692,NA
0.6915,0.3511
1,NA
0.6559,0.343
0.6395,0
1,0.6923
1,NA
0.6477,0.6477
1,0.3667
1,1
1,NA
1,NA
0.6444,NA
1,NA
1,NA
1,NA
1,0.3535
0.66,NA
1,NA
1,NA
1,0.36
0.7021,0.7021
1,NA
1,NA
1,0.67
1,0.6559
1,0.337
1,NA
1,0.3368
1,NA
0.6424,NA
1,NA
1,NA
1,NA
0.6313,NA
1,NA
1,NA
0.6105,0
0.663,0
1,0.3417
0.6714,NA
0.6819,NA
0.6437,0
0.664,0.3441
1,0.3754
1,1
1,0.6762
1,NA
1,NA
1,1
0.6596,NA
1,NA
0.6684,NA
0.6368,NA
1,NA
1,NA
1,NA
1,0.3728
0.6974,0
0.6998,0.3563
0.6448,0
1,NA
1,NA
0.644,NA
1,0.6429
1,NA
1,NA
1,1
0.6774,NA
1,NA
1,NA
1,NA
0.6366,0.3237
1,NA
0.3456,0.3456
0.6824,NA
0.6566,0
1,NA
0.7039,0
0.6788,0.6788
1,0.6767
0.6804,0
1,0.6489
0.6686,NA
1,NA
0.6531,0.6531
1,NA
0.6803,NA
0.6419,0
1,NA
1,0.6753
1,1
1,NA
0.7,0.3667
0.7005,0
1,NA
1,NA
0.6703,NA
0.6641,NA
0.657,0
1,NA
0.6508,NA
1,NA
1,1
1,1
0.6638,0
0.6837,0.3776
0.6832,NA
1,0.6701
1,0.6923
1,NA
1,0.6306
0.6601,NA
1,NA
0.6701,0.6701
1,NA
0.3394,0
0.732,NA
0.6739,NA
0.3516,0
0.6577,NA
0.3624,0
1,1
0.6736,NA
1,NA
0.6584,0
1,NA
0.6634,NA
1,0.6714
1,0.6813
1,NA
1,NA
0.7218,0
1,NA
0.6479,NA
1,1
1,NA
0.6559,0
0.6738,0
0.3466,0
1,NA
0.702,0.702
1,NA
1,0.6751
1,NA
0.6919,0.3594
1,NA
1,1
1,NA
1,NA
0.6518,NA
1,1
0.6809,NA
0.6591,0.3523
0.6558,0
0.7033,0.7033
1,NA
1,NA
1,1
0.3804,0.3804
1,NA
1,NA
1,1
1,NA
1,0.6718
1,NA
1,0.6791
0.6426,0.6426
1,NA
0.7065,NA
1,NA
0.6879,0
0.7,NA
0.6489,NA
1,1
0.6651,0
0.697,0.697
0.649,0
1,0.6787
1,NA
1,NA
0.6582,0.351
0.6733,0
0.6541,0.3515
0.663,0.337
1,NA
1,NA
0.6885,0
1,NA
1,NA
1,NA
1,NA
0.6863,NA
0.6596,0.3511
0.697,NA
1,NA
0.6868,0
0.6867,NA
1,0.6434
1,NA
0.6771,0.6771
0.6413,0
1,1
1,1
0.709,0.3641
1,NA
0.7039,0.7039
1,0.6503
1,NA
1,0.6403
0.6769,0.6769
0.6374,0
0.6374,0.3297
0.6635,0
1,1
1,1
0.6667,NA
1,NA
1,NA
1,NA
0.6848,0.3478
1,1
0.6303,0.3249
1,NA
1,NA
1,NA
0.6771,0
0.6463,0.3316
0.6545,0
1,NA
1,NA
1,NA
1,NA
0.6883,0
0.6564,0.6564
0.6679,0.3662
1,0.662
1,NA
1,NA
1,NA
0.6632,NA
0.6731,0.6731
0.6606,0.6606
1,NA
1,NA
1,0.6906
1,1
0.6669,NA
1,NA
0.6646,NA
0.6399,NA
1,NA
1,1
1,NA
0.6939,0.3571
0.6631,0.3423
1,NA
0.6703,0
1,NA
0.7033,0
0.6667,0.6667
0.699,0.3604
0.6735,NA
1,0.3592
1,NA
1,NA
1,0.6474
1,NA
1,0.6577
0.6621,NA
0.6889,NA
1,1
1,NA
0.6611,NA
1,NA
1,0.6511
0.6736,0
1,NA
0.6821,NA
1,NA
1,NA
1,1
1,NA
0.6421,NA
1,NA
1,NA
1,NA
0.6484,NA
1,1
0.666,0.334
1,NA
0.6581,NA
1,NA
1,0.6559
1,NA
0.6667,0.6667
1,NA
0.6694,0.3779
1,0.3556
0.7072,NA
0.6845,0
1,NA
0.3353,0
0.68,NA
0.6939,0.3469
1,NA
0.6558,0.6558
1,1
0.6319,0.6319
1,NA
1,NA
1,NA
1,NA
0.6955,NA
1,1
1,1
1,0.6552
0.35,0
1,NA
1,NA
1,1
0.6889,NA
1,NA
1,0.3756
1,NA
0.3543,0
0.6986,NA
1,NA
0.6831,NA
1,NA
0.6476,0.6476
1,NA
0.6354,NA
1,0.6719
1,NA
0.663,0
1,NA
1,NA
1,NA
1,0.348
1,NA
0.6535,0.6535
0.3695,0.3695
0.6404,0.3408
1,NA
1,0.6458
0.6795,0
1,NA
1,NA
1,1
1,1
0.6739,0.3373
1,NA
1,NA
1,0.3748
0.6667,0.6667
1,1
0.6573,NA
0.6701,0.3402
1,NA
1,1
1,NA
0.6481,0.6481
0.6703,0.6703
0.6742,NA
1,1
1,0.6575
1,0.6759
1,NA
0.6591,0.3409
1,0.6688
1,1
1,0.6889
1,0.6799
0.6569,NA
1,0.3598
1,1
0.677,0.3761
1,1
1,0.34
1,NA
0.6768,0.6768
0.65,NA
1,NA
1,1
1,NA
0.6544,0
1,0.6625
0.6907,0.3711
0.6509,NA
1,1
1,NA
0.6737,NA
1,NA
1,NA
1,NA
0.3727,0
1,NA
0.3356,0
1,NA
0.7023,NA
1,NA
0.6613,NA
0.6556,NA
0.6383,NA
1,0.6742
1,0.6633
1,NA
1,NA
0.6917,0.3803
1,1
1,0.6695
1,0.3633
1,NA
1,NA
0.6805,0
1,NA
0.685,NA
0.6831,0
1,NA
1,NA
0.3634,0
1,1
1,1
1,0.341
1,NA
0.6514,0
1,0.6443
1,0.385
0.6712,0
1,0.6699
1,1
1,1
1,NA
1,NA
1,1
1,1
1,0.3516
1,1
1,0.6285
1,NA
1,1
1,NA
1,0.6702
1,1
1,NA
1,NA
1,0.6611
1,0.6667
1,1
1,NA
1,NA
1,0.6967
1,NA
1,1
0.6372,0
1,1
1,NA
1,1
1,NA
0.6793,0.3397
1,NA
1,1
1,0.6502
1,NA
1,1
1,1
1,NA
0.6578,0
1,1
0.669,NA
1,0.6723
0.6948,0.3522
1,NA
1,0.6675
1,NA
0.6392,NA
0.6889,0
1,NA
0.6559,0.6559
0.3654,0
0.6492,NA
1,1
1,NA
0.667,0.667
1,NA
1,1
1,0.6413
1,1
1,NA
0.7259,0.7259
0.7185,0
1,NA
0.6413,0.6413
1,1
1,0.3501
1,NA
0.6703,NA
1,NA
1,0.6985
0.6799,0.3502
1,NA
1,0.6366
1,1
1,1
1,NA
0.6224,0.6224
1,NA
1,0.6484
1,NA
0.6787,0.6787
1,1
1,NA
1,0.3648
0.6693,0.3496
1,1
1,1
1,1
0.6566,0.3385
1,NA
1,NA
1,1
0.6724,0.6724
1,NA
1,NA
0.6927,NA
1,0.3653
0.6667,0
0.6739,0.3478
1,1
1,1
1,1
1,1
1,1
0.6632,NA
1,1
1,1
1,0.3735
0.6477,0.6477
1,1
1,NA
0.6803,0.6803
0.6775,NA
1,1
1,1
1,NA
0.6552,0
1,0.6591
1,NA
1,1
1,0.6651
1,0.6904
0.6722,0.6722
1,0.3544
1,NA
0.6495,0.6495
0.6857,0
0.3474,0
1,1
1,NA
1,1
1,NA
1,NA
0.6729,0.6729
0.6684,NA
0.7113,NA
1,1
1,NA
1,1
1,0.3586
0.6289,0
1,NA
0.6392,0
0.668,0
0.6479,0
1,1
0.9277,0.4821
1,NA
1,1
1,NA
0.6327,0.3571
1,0.6555
1,1
1,NA
1,NA
1,NA
1,NA
0.6701,0.3608
0.6957,0
1,NA
1,NA
1,NA
1,1
1,1
1,0.6989
0.69,NA
0.6277,NA
0.6883,0.3616
1,1
0.6716,0.6716
1,1
0.3474,0
0.6356,0.6356
1,1
0.6957,NA
1,NA
0.6596,0.6596
1,1
1,NA
0.6781,NA
1,NA
0.6959,0.6959
1,1
0.6596,0.3404
0.6523,NA
1,NA
1,0.68
1,1
1,NA
1,0.6638
0.3474,0
1,NA
1,NA
1,NA
1,0.6889
1,NA
0.6657,NA
0.6907,0.6907
0.6531,0.6531
0.657,NA
0.6434,NA
0.6591,NA
0.6559,0
1,NA
0.6895,NA
0.3883,0.3883
1,NA
1,0.6632
1,0.3511
1,1
1,0.6413
0.6689,NA
1,0.6383
1,NA
0.6904,0.6904
1,1
1,1
0.662,0.3439
1,NA
1,1
1,1
0.6525,0
0.6336,0.3404
1,0.6659
1,1
1,0.3804
1,1
1,NA
0.6526,0
1,0.6338
0.6737,0.6737
1,0.6585
1,1
0.6662,0
1,NA
1,1
1,1
0.6953,NA
1,1
1,1
0.65,NA
1,1
1,1
0.6439,0.6439
0.6421,0.3474
1,1
1,0.6748
0.6923,0.6923
0.9594,0.9594
0.6735,0.3571
1,1
1,0.6551
1,NA
1,0.6227
0.6513,NA
1,NA
1,1
0.6534,0
0.6606,0
1,1
1,1
